course_id,course_name,course_skill,course_duration,course_url,course_description
COURSE011,Using TensorFlow with Amazon Sagemake,"SKILL013,SKILL031,SKILL032",2 hours,https://www.coursera.org/projects/sagemaker-tensorflow,"In this 2-hour long project-based course, you will learn how to train and deploy an image classifier created and trained with the TensorFlow framework within the Amazon Sagemaker ecosystem. Sagemaker provides a number of machine learning algorithms ready to be used for solving a number of tasks. However, it is possible to use Sagemaker for custom training scripts as well. We will use TensorFlow and Sagemaker's TensorFlow Estimator to create, train and deploy a model that will be able to classify images of dogs and cats from the popular Oxford IIIT Pet Dataset."
COURSE012,Data Analyst,"SKILL007,SKILL010",56 hours,https://www.codecademy.com/learn/paths/data-analyst,"Businesses generate tons of information, but they don�t always know how to make use of it. So they look to masters of big data to make sense of it all. Consider this your roadmap to an entry-level role as a Data Analyst. Gain step-by-step guidance as you learn the skills and tools you�ll need to land one of the most in-demand roles in tech."
COURSE013,Data Scientist,"SKILL007,SKILL011",70 hours,https://www.codecademy.com/learn/paths/data-science,"Companies are looking for data-driven decision makers, and this Career Path will teach you the skills you need to become just that. You'll learn to analyze data, communicate your findings, and even draw predictions using machine learning. Along the way, you'll build portfolio-worthy projects that will help you get job-ready."
COURSE014,Data analytics for people,"SKILL033,SKILL034,SKILL009,SKILL017",10 hours,https://www.edx.org/course/data-analytics-for-everyone,"Learn the fundamentals of Data Analytics and gain an understanding of the data ecosystem, the process and lifecycle of data analytics, career opportunities, and the different learning paths you can take to be a Data Analyst"
COURSE015,Analyzing Data with Excel,"SKILL006,SKILL022,SKILL008",10 hours,https://www.edx.org/course/analyzing-data-with-excel,Build the fundamental knowledge required to use Excel spreadsheets to perform basic data analysis. The course covers the basic workings and key features of Excel to help students analyze their data.
COURSE016,Data Visualization and Building Dashboards with Excel and Cognos,"SKILL006,SKILL009,SKILL011",10 hours,https://www.edx.org/course/data-visualization-and-building-dashboards-with-excel-and-cognos,Build the fundamental knowledge necessary to use Excel and IBM Cognos Analytics to create data visualizations and to create dashboards containing those visualizations to help tell a lucid story about data.
COURSE017,The Data Scientist’s Toolbox,"SKILL035,SKILL018,SKILL005,SKILL036",18 hours,https://www.coursera.org/learn/data-scientists-tools?specialization=jhu-data-science,"In this course you will get an introduction to the main tools and ideas in the data scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components to this course. The first is a conceptual introduction to the ideas behind turning data into actionable knowledge. The second is a practical introduction to the tools that will be used in the program like version control, markdown, git, GitHub, R, and RStudio."
COURSE018,R Programming,"SKILL008,SKILL037,SKILL005,SKILL036",57 hours,https://www.coursera.org/learn/r-programming?specialization=jhu-data-science,"In this course you will learn how to program in R and how to use R for effective data analysis. You will learn how to install and configure software necessary for a statistical programming environment and describe generic programming language concepts as they are implemented in a high-level statistical language. The course covers practical issues in statistical computing which includes programming in R, reading data into R, accessing R packages, writing R functions, debugging, profiling R code, and organizing and commenting R code. Topics in statistical data analysis will provide working examples."
COURSE019,Getting and Cleaning Data,"SKILL020,SKILL038,SKILL005,SKILL039",20 hours,https://www.coursera.org/learn/data-cleaning?specialization=jhu-data-science,"Before you can work with data you have to get some. This course will cover the basic ways that data can be obtained. The course will cover obtaining data from the web, from APIs, from databases and from colleagues in various formats. It will also cover the basics of data cleaning and how to make data “tidy”. Tidy data dramatically speed downstream data analysis tasks. The course will also cover the components of a complete data set including raw data, processing instructions, codebooks, and processed data. The course will cover the basics needed for collecting, cleaning, and sharing data."
COURSE020,Exploratory Data Analysis,"SKILL023,SKILL005,SKILL066",55 hours,https://www.coursera.org/learn/exploratory-data-analysis?specialization=jhu-data-science,This course covers the essential exploratory techniques for summarizing data. These techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models. Exploratory techniques are also important for eliminating or sharpening potential hypotheses about the world that can be addressed by the data. We will cover in detail the plotting systems in R as well as some of the basic principles of constructing data graphics. We will also cover some of the common multivariate statistical techniques used to visualize high-dimensional data.
COURSE021,Introduction to Data Science in Python,"SKILL007,SKILL043,SKILL041,SKILL039",30 hours,https://www.coursera.org/learn/python-data-analysis?specialization=data-science-python,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. "
COURSE022,"Applied Plotting, Charting & Data Representation in Python","SKILL007,SKILL044,SKILL045,SKILL042",20 hours,https://www.coursera.org/learn/python-plotting?specialization=data-science-python,"This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data. "
COURSE023,Applied Machine Learning in Python,"SKILL007,SKILL046,SKILL013,SKILL047",34 hours,https://www.coursera.org/learn/python-machine-learning?specialization=data-science-python,"This course will introduce the learner to applied machine learning, focusing more on the techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than descriptive statistics, and introduce the scikit learn toolkit through a tutorial. The issue of dimensionality of data will be discussed, and the task of clustering data, as well as evaluating those clusters, will be tackled. Supervised approaches for creating predictive models will be described, and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability (e.g. cross validation, overfitting). The course will end with a look at more advanced techniques, such as building ensembles, and practical limitations of predictive models. By the end of this course, students will be able to identify the difference between a supervised (classification) and unsupervised (clustering) technique, identify which technique they need to apply for a particular dataset and need, engineer features to meet that need, and write python code to carry out an analysis. "
COURSE024,Applied Text Mining in Python,"SKILL048,SKILL040,SKILL007",29 hours,https://www.coursera.org/learn/python-text-mining?specialization=data-science-python,"This course will introduce the learner to text mining and text manipulation basics. The course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk framework for manipulating text. The second week focuses on common manipulation needs, including regular expressions (searching for text), cleaning text, and preparing text for use by machine learning processes. The third week will apply basic natural language processing methods to text, and demonstrate how text classification is accomplished. The final week will explore more advanced methods for detecting the topics in documents and grouping them by similarity (topic modelling). "
COURSE025,What is Data Science? ,"SKILL033,SKILL035",9 hours,https://www.coursera.org/learn/what-is-datascience?specialization=introduction-data-science,"The art of uncovering the insights and trends in data has been around since ancient times. The ancient Egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science. In this course, we will meet some data science practitioners and we will get an overview of what data science is today."
